dataset,model_name,k,train_accuracy_mean,train_accuracy_std,train_macro_f1_mean,train_macro_f1_std,train_weighted_f1_mean,train_weighted_f1_std,train_macro_precision_mean,train_macro_precision_std,train_macro_recall_mean,train_macro_recall_std,validation_accuracy_mean,validation_accuracy_std,validation_macro_f1_mean,validation_macro_f1_std,validation_weighted_f1_mean,validation_weighted_f1_std,validation_macro_precision_mean,validation_macro_precision_std,validation_macro_recall_mean,validation_macro_recall_std,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_weighted_f1_std,final_train_accuracy,final_train_macro_f1,final_train_weighted_f1,final_train_macro_precision,final_train_macro_recall,test_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall,train_test_accuracy_gap,train_test_macro_f1_gap,train_test_weighted_f1_gap
hqrtm_q60,B1_structural,2,0.6520163605051665,0.002587718559164321,0.5134606665753843,0.03336162393311309,0.676814501170169,0.0015479240953381677,0.47542477540600936,0.025286674271180132,0.623251141920949,0.05401829759379304,0.5401729334098737,0.006839695328928378,0.34119073223880436,0.009462139184499785,0.5723029974213749,0.008000549694565899,0.3332828647884351,0.008570332808063526,0.38190896784805256,0.0029742299809920165,0.5401729334098737,0.006839695328928378,0.34119073223880436,0.009462139184499785,0.5723029974213749,0.008000549694565899,0.6265388257575758,0.48350479794310836,0.6547830509142938,0.4507978365145879,0.5888473533393602,0.546680866169684,0.3577693735853605,0.5824077118753307,0.3481950945614072,0.40862775731657125,0.07985795958789177,0.12573542435774787,0.0723753390389631
hqrtm_q60,B1_structural,3,0.6079831321226292,0.013536838081593106,0.46481627108890544,0.011108675548854448,0.6397302367698151,0.010760592741700945,0.4358682508394593,0.008195488242824086,0.5763433565026326,0.0026158828388815744,0.5485271302984643,0.03689228773450882,0.3415566407180981,0.02719796306121314,0.5763509940268341,0.028306569977138128,0.33328188721112273,0.02257011136920014,0.3846123914833724,0.03063840668783977,0.5485271302984643,0.03689228773450882,0.3415566407180981,0.02719796306121314,0.5763509940268341,0.028306569977138128,0.6393229166666666,0.49624777657265395,0.6658497150764031,0.4611000043299069,0.6023572312085063,0.5498757543485978,0.3597035350023051,0.5844986673221001,0.34905539499104304,0.4112573657299123,0.08944716231806882,0.13654424157034883,0.08135104775430302
hqrtm_q60,B1_structural,4,0.602581909310171,0.02445769747824607,0.4571519170322355,0.03752752074711144,0.6352788843565946,0.01913335410497988,0.4305701881496668,0.03139681655778864,0.5658743172566859,0.03657897946593015,0.5421693458312729,0.06422294305399329,0.3394925711091772,0.017735503869303754,0.5695103616316477,0.04142643917855479,0.33795077210423013,0.010093923146186625,0.3829074071345131,0.02060143270894218,0.5421693458312729,0.06422294305399329,0.3394925711091772,0.017735503869303754,0.5695103616316477,0.04142643917855479,0.623342803030303,0.4865393403113575,0.6515755984732264,0.452371348564784,0.5985131753202587,0.5473908413205538,0.36109265732141443,0.5835090592702916,0.35060087180649335,0.41769568492291553,0.07595196170974916,0.12544668298994305,0.06806653920293482
hqrtm_q60,B2_structural_socioeconomic,2,0.6310078214695752,0.13529962595960018,0.5229661523654201,0.07315966292310183,0.6618153476320563,0.11795793653830305,0.5056988578809477,0.051908191410787646,0.6406925712888486,0.012715329732666618,0.5702802095292767,0.008034612428307226,0.37885172520360877,0.01358579962812295,0.5972364526057637,0.005487972147291377,0.37746478449876164,0.031448001719870056,0.43894689749347804,0.002570281589635236,0.5702802095292767,0.008034612428307226,0.37885172520360877,0.01358579962812295,0.5972364526057637,0.005487972147291377,0.6773200757575758,0.537886509938698,0.6994012717716209,0.5074562120808418,0.6105447058571414,0.6499822506212283,0.48884478901382056,0.6738451589910026,0.4669594440228672,0.5479018497880295,0.027337825136347527,0.04904172092487746,0.025556112780618312
hqrtm_q60,B2_structural_socioeconomic,3,0.6100895791393722,0.07169065640337448,0.4887484310518488,0.06238041716781257,0.6525912042681141,0.05047251964320084,0.49808753972780445,0.04551504623831168,0.5937527196712554,0.03024788766946433,0.5842582825737849,0.023508320069667375,0.3946118086749422,0.06155065569401672,0.6159575574513063,0.03427490752087214,0.4359352803941457,0.08082020100327218,0.4281649190628751,0.06754246141272141,0.5842582825737849,0.023508320069667375,0.3946118086749422,0.06155065569401672,0.6159575574513063,0.03427490752087214,0.803030303030303,0.6656649164570922,0.7949658304360178,0.6823118637793414,0.6531522791479668,0.7532836350727724,0.5459885519020267,0.7448772546957881,0.5564565196109473,0.5379406683895485,0.04974666795753058,0.11967636455506558,0.050088575740229624
hqrtm_q60,B2_structural_socioeconomic,4,0.6535080342969578,0.09643536541067821,0.512772700387313,0.08360529495173959,0.6794665921377594,0.07506404697066588,0.5110878452312876,0.061535716224642385,0.5894717209984524,0.05208462865117993,0.6428728273247084,0.0700863418878126,0.41224363541485454,0.05315404132952833,0.6464180739823748,0.03797067964583727,0.4295820765437398,0.07351754421839118,0.4485737134809733,0.06629043288251393,0.6428728273247084,0.0700863418878126,0.41224363541485454,0.05315404132952833,0.6464180739823748,0.03797067964583727,0.7675189393939394,0.6083695816483031,0.7654089865681988,0.6008230574541489,0.6173393220377194,0.7326943556975506,0.5368924541948386,0.7307747264702175,0.5341943003216498,0.5403583984539538,0.034824583696388856,0.07147712745346457,0.03463426009798132
hqrtm_q60,B3_structural_context,2,0.5689437428243398,0.017271752892932014,0.44219182661988854,0.016251409440446788,0.6093717050514723,0.018419017125001554,0.42503878885592317,0.015578440262190659,0.5904792262819794,0.06335318210209696,0.5558427812858783,0.008394863443406557,0.35000123396152455,0.048398120595899465,0.5886837455402918,0.01378835998831428,0.36991453557770937,0.009928446175172535,0.39922860453187375,0.04367298344256901,0.5558427812858783,0.008394863443406557,0.35000123396152455,0.048398120595899465,0.5886837455402918,0.01378835998831428,0.6317471590909091,0.4819695873286213,0.6612784908666683,0.45039045388532273,0.5914804414968543,0.6052538161164359,0.4379182342875517,0.638207069697029,0.41430391976672065,0.5416206266396539,0.026493342974473144,0.04405135304106955,0.02307142116963934
hqrtm_q60,B3_structural_context,3,0.5245222020830379,0.0876827303502623,0.4180976121504027,0.04762705419369931,0.5674254769730335,0.08920115367261164,0.421288281519709,0.02368425760161691,0.5826264351194396,0.00675718566465252,0.5828752505739817,0.06273533554761207,0.36443417306574094,0.02333855133205354,0.5966528036954398,0.03446435379444096,0.37930881566243313,0.010509090386894692,0.38356171322854477,0.045292302952428136,0.5828752505739817,0.06273533554761207,0.36443417306574094,0.02333855133205354,0.5966528036954398,0.03446435379444096,0.6880918560606061,0.547434957292813,0.7070074868875127,0.5070217412912594,0.6334153703069609,0.6237131700390486,0.4280798475529308,0.6495326618642572,0.40737037492525907,0.48472381459999536,0.0643786860215575,0.11935510973988217,0.057474825023255516
hqrtm_q60,B3_structural_context,4,0.5262880013321068,0.0905009171773829,0.4150851254442318,0.06213152208201203,0.5701453693715426,0.08453311658810403,0.41429377369223896,0.02904719517950842,0.5634171242651491,0.047065510827020186,0.5403824916759404,0.07816743632622923,0.3540691560689049,0.0531431794674324,0.5709245645148804,0.06169739175673741,0.3628186338219539,0.058065169711156855,0.4264853341053725,0.09915871546374806,0.5403824916759404,0.07816743632622923,0.3540691560689049,0.0531431794674324,0.5709245645148804,0.06169739175673741,0.6442945075757576,0.4991756518378622,0.6700046799220191,0.4636070035289218,0.5994534901171835,0.6116435924742634,0.44482474854629983,0.6409933873768551,0.4179920737714085,0.5363533419454303,0.032650915101494205,0.05435090329156239,0.02901129254516399
hqrtm_q60,B4_structural_context_socioeconomic,2,0.5742052956371986,0.08964415224320699,0.5096903343818726,0.009223003536686458,0.6136023367491139,0.08979407917277449,0.5412437128079728,0.038639468367201356,0.6598744017509173,0.06882990415470742,0.5512162743972445,0.12512380327253342,0.3943168690131591,0.017863210648361383,0.5897555494593005,0.10463952448132673,0.4637377197654148,0.09347956015999861,0.4398915878897597,0.01660247421490552,0.5512162743972445,0.12512380327253342,0.3943168690131591,0.017863210648361383,0.5897555494593005,0.10463952448132673,0.7547348484848485,0.6453609218247123,0.7715806283621255,0.6156549985795738,0.7013892144238034,0.7223997160099397,0.5839366870689924,0.7400424011900055,0.5633802364263056,0.6207437306753666,0.03233513247490882,0.0614242347557199,0.03153822717211996
