fold,split,metric,iteration,value
1,learn,TotalF1:average=Macro,1,0.5450436260362926
1,learn,TotalF1:average=Macro,2,0.5624897009851715
1,learn,TotalF1:average=Macro,3,0.5623645865492107
1,learn,TotalF1:average=Macro,4,0.5627199281130477
1,learn,TotalF1:average=Macro,5,0.5690341096866507
1,learn,TotalF1:average=Macro,6,0.5710183516721913
1,learn,TotalF1:average=Macro,7,0.5777083472644419
1,learn,TotalF1:average=Macro,8,0.5805375905470699
1,learn,TotalF1:average=Macro,9,0.5814556323256499
1,learn,TotalF1:average=Macro,10,0.585506562246928
1,learn,TotalF1:average=Macro,11,0.5885171412628823
1,learn,TotalF1:average=Macro,12,0.5872551401555726
1,learn,TotalF1:average=Macro,13,0.58967674879068
1,learn,TotalF1:average=Macro,14,0.594266152565031
1,learn,TotalF1:average=Macro,15,0.596777207545333
1,learn,TotalF1:average=Macro,16,0.6000631179180616
1,learn,TotalF1:average=Macro,17,0.5985655627428086
1,learn,TotalF1:average=Macro,18,0.6002500747763906
1,learn,TotalF1:average=Macro,19,0.6006312378898738
1,learn,TotalF1:average=Macro,20,0.6018963234166536
1,learn,TotalF1:average=Macro,21,0.608987568435094
1,learn,TotalF1:average=Macro,22,0.6131366008141221
1,learn,TotalF1:average=Macro,23,0.6159180377887186
1,learn,TotalF1:average=Macro,24,0.6190281578784631
1,learn,TotalF1:average=Macro,25,0.6216819148902093
1,learn,TotalF1:average=Macro,26,0.6224523197648482
1,learn,TotalF1:average=Macro,27,0.625053962869954
1,learn,TotalF1:average=Macro,28,0.626079165172494
1,learn,TotalF1:average=Macro,29,0.6282474402941423
1,learn,TotalF1:average=Macro,30,0.6286910251237969
1,learn,TotalF1:average=Macro,31,0.6301896169551491
1,learn,TotalF1:average=Macro,32,0.6332735045852493
1,learn,TotalF1:average=Macro,33,0.633158005280279
1,learn,TotalF1:average=Macro,34,0.6362974098752083
1,learn,TotalF1:average=Macro,35,0.6397593935189134
1,learn,TotalF1:average=Macro,36,0.6421318766446825
1,learn,TotalF1:average=Macro,37,0.6446277933263219
1,learn,TotalF1:average=Macro,38,0.6465290596694542
1,learn,TotalF1:average=Macro,39,0.6496553505080677
1,learn,TotalF1:average=Macro,40,0.6521474622037734
1,learn,TotalF1:average=Macro,41,0.654442004663014
1,learn,TotalF1:average=Macro,42,0.6556408039439497
1,learn,TotalF1:average=Macro,43,0.6567638523409927
1,learn,TotalF1:average=Macro,44,0.6568461730654358
1,learn,TotalF1:average=Macro,45,0.6585896837128558
1,learn,TotalF1:average=Macro,46,0.660612092318448
1,learn,TotalF1:average=Macro,47,0.6618797647074174
1,learn,TotalF1:average=Macro,48,0.6629104774151569
1,learn,TotalF1:average=Macro,49,0.6637592403070186
1,learn,TotalF1:average=Macro,50,0.665052804946418
1,learn,TotalF1:average=Macro,51,0.6660784045427715
1,learn,TotalF1:average=Macro,52,0.6667758110307954
1,learn,TotalF1:average=Macro,53,0.6682506860604447
1,learn,TotalF1:average=Macro,54,0.6698012087721548
1,learn,TotalF1:average=Macro,55,0.6716389218288534
1,learn,TotalF1:average=Macro,56,0.6722147193822308
1,learn,TotalF1:average=Macro,57,0.6743382432007654
1,learn,TotalF1:average=Macro,58,0.6756449581045167
1,learn,TotalF1:average=Macro,59,0.6765236710270977
1,learn,TotalF1:average=Macro,60,0.6770608204543171
1,learn,TotalF1:average=Macro,61,0.6787171635265473
1,learn,TotalF1:average=Macro,62,0.6806860654807552
1,learn,TotalF1:average=Macro,63,0.6824879758868404
1,learn,TotalF1:average=Macro,64,0.6835655681429841
1,learn,TotalF1:average=Macro,65,0.6855724903046687
1,learn,TotalF1:average=Macro,66,0.685370924693574
1,learn,TotalF1:average=Macro,67,0.6872458960458201
1,learn,TotalF1:average=Macro,68,0.6871435447829681
1,learn,TotalF1:average=Macro,69,0.6874259373338896
1,learn,TotalF1:average=Macro,70,0.6889088837069376
1,learn,TotalF1:average=Macro,71,0.6896751198728392
1,learn,TotalF1:average=Macro,72,0.690935075234574
1,learn,TotalF1:average=Macro,73,0.6925881246458976
1,learn,TotalF1:average=Macro,74,0.6942916386122118
1,learn,TotalF1:average=Macro,75,0.6936273975873625
1,learn,TotalF1:average=Macro,76,0.6955308995394341
1,learn,TotalF1:average=Macro,77,0.6959615276297008
1,learn,TotalF1:average=Macro,78,0.6974241231469955
1,learn,TotalF1:average=Macro,79,0.7001909485896743
1,learn,TotalF1:average=Macro,80,0.700612971734406
1,learn,TotalF1:average=Macro,81,0.7008104390822648
1,learn,TotalF1:average=Macro,82,0.7012854831504882
1,learn,TotalF1:average=Macro,83,0.7017663595705381
1,learn,TotalF1:average=Macro,84,0.7035186450680064
1,learn,TotalF1:average=Macro,85,0.7054968851458482
1,learn,TotalF1:average=Macro,86,0.70647368682688
1,learn,TotalF1:average=Macro,87,0.7073201745904583
1,learn,TotalF1:average=Macro,88,0.7078493342763054
1,learn,TotalF1:average=Macro,89,0.7082849416694291
1,learn,TotalF1:average=Macro,90,0.70905432309562
1,learn,TotalF1:average=Macro,91,0.7101795398894197
1,learn,TotalF1:average=Macro,92,0.7111404077227363
1,learn,TotalF1:average=Macro,93,0.7116959314624263
1,learn,TotalF1:average=Macro,94,0.7123719724554523
1,learn,TotalF1:average=Macro,95,0.7131526461960731
1,learn,TotalF1:average=Macro,96,0.7132071480041703
1,learn,TotalF1:average=Macro,97,0.7144429466170154
1,learn,TotalF1:average=Macro,98,0.7165428116205045
1,learn,TotalF1:average=Macro,99,0.7177645402673969
1,learn,TotalF1:average=Macro,100,0.7177003372909383
1,learn,TotalF1:average=Macro,101,0.7194097639185195
1,learn,TotalF1:average=Macro,102,0.7206414561417094
1,learn,TotalF1:average=Macro,103,0.7207353557074179
1,learn,TotalF1:average=Macro,104,0.7205032898202423
1,learn,TotalF1:average=Macro,105,0.7206888833138374
1,learn,TotalF1:average=Macro,106,0.721551937615967
1,learn,TotalF1:average=Macro,107,0.7219256095549558
1,learn,TotalF1:average=Macro,108,0.722610272893014
1,learn,TotalF1:average=Macro,109,0.7240162993418187
1,learn,TotalF1:average=Macro,110,0.7240804891994449
1,learn,TotalF1:average=Macro,111,0.7242564553953172
1,learn,TotalF1:average=Macro,112,0.7252144084711389
1,learn,TotalF1:average=Macro,113,0.7261442963585998
1,learn,TotalF1:average=Macro,114,0.7264686319838244
1,learn,TotalF1:average=Macro,115,0.7267114985961127
1,learn,TotalF1:average=Macro,116,0.7274871950072135
1,learn,TotalF1:average=Macro,117,0.7275376301030846
1,learn,TotalF1:average=Macro,118,0.7282132348903193
1,learn,TotalF1:average=Macro,119,0.7288345997835878
1,learn,TotalF1:average=Macro,120,0.7287405572350819
1,learn,TotalF1:average=Macro,121,0.7298216615470601
1,learn,TotalF1:average=Macro,122,0.7305461392151754
1,learn,TotalF1:average=Macro,123,0.7309920494679343
1,learn,TotalF1:average=Macro,124,0.7334199797356096
1,learn,TotalF1:average=Macro,125,0.7343089110097377
1,learn,TotalF1:average=Macro,126,0.7353935362105528
1,learn,TotalF1:average=Macro,127,0.7362603186698836
1,learn,TotalF1:average=Macro,128,0.7376423353759562
1,learn,TotalF1:average=Macro,129,0.7388846920602137
1,learn,TotalF1:average=Macro,130,0.7397715195593424
1,learn,TotalF1:average=Macro,131,0.7393153238433668
1,learn,TotalF1:average=Macro,132,0.7415969753680077
1,learn,TotalF1:average=Macro,133,0.7419141841277981
1,learn,TotalF1:average=Macro,134,0.7428854872204488
1,learn,TotalF1:average=Macro,135,0.7432530256292793
1,learn,TotalF1:average=Macro,136,0.7435067816874615
1,learn,TotalF1:average=Macro,137,0.7433709113953695
1,learn,TotalF1:average=Macro,138,0.7441939910943028
1,learn,TotalF1:average=Macro,139,0.7452029499208732
1,learn,TotalF1:average=Macro,140,0.7452656921218829
1,learn,TotalF1:average=Macro,141,0.7458644098170482
1,learn,TotalF1:average=Macro,142,0.7456691263278616
1,learn,TotalF1:average=Macro,143,0.7464686202950144
1,learn,TotalF1:average=Macro,144,0.7466316593914477
1,learn,TotalF1:average=Macro,145,0.7474252038261262
1,learn,TotalF1:average=Macro,146,0.7475525988986181
1,learn,TotalF1:average=Macro,147,0.7482740396594122
1,learn,TotalF1:average=Macro,148,0.7498749478183215
1,learn,TotalF1:average=Macro,149,0.7501134470491917
1,learn,TotalF1:average=Macro,150,0.7499308674737062
1,learn,TotalF1:average=Macro,151,0.7508854308871022
1,learn,TotalF1:average=Macro,152,0.7518178553898495
1,learn,TotalF1:average=Macro,153,0.7526679511637578
1,learn,TotalF1:average=Macro,154,0.7524105003122804
1,learn,TotalF1:average=Macro,155,0.7523656587703571
1,learn,TotalF1:average=Macro,156,0.7521950860064706
1,learn,TotalF1:average=Macro,157,0.753319504730392
1,learn,TotalF1:average=Macro,158,0.7541146660886837
1,learn,TotalF1:average=Macro,159,0.7536899849989163
1,learn,TotalF1:average=Macro,160,0.7545361491586859
1,learn,TotalF1:average=Macro,161,0.7550288942167402
1,learn,TotalF1:average=Macro,162,0.7561012376855032
1,learn,TotalF1:average=Macro,163,0.7559572627692708
1,learn,TotalF1:average=Macro,164,0.7561284149824674
1,learn,TotalF1:average=Macro,165,0.7572236217485131
1,learn,TotalF1:average=Macro,166,0.7583143557330466
1,learn,TotalF1:average=Macro,167,0.7587842154869682
1,learn,TotalF1:average=Macro,168,0.7600861598902064
1,learn,MultiClass,1,1.3512616806356852
1,learn,MultiClass,2,1.3200661935031568
1,learn,MultiClass,3,1.2947010460760933
1,learn,MultiClass,4,1.2710540534729962
1,learn,MultiClass,5,1.2484094747773486
1,learn,MultiClass,6,1.2289225816712168
1,learn,MultiClass,7,1.2115600361771723
1,learn,MultiClass,8,1.1962987185844405
1,learn,MultiClass,9,1.180052048853332
1,learn,MultiClass,10,1.166046712417592
1,learn,MultiClass,11,1.1535522421791569
1,learn,MultiClass,12,1.1395116952290345
1,learn,MultiClass,13,1.1280849037431226
1,learn,MultiClass,14,1.1145244295575543
1,learn,MultiClass,15,1.1024563324800145
1,learn,MultiClass,16,1.0905612683337769
1,learn,MultiClass,17,1.0799759929230932
1,learn,MultiClass,18,1.06892840785948
1,learn,MultiClass,19,1.0602521236908362
1,learn,MultiClass,20,1.0515399855246204
1,learn,MultiClass,21,1.0414741006835695
1,learn,MultiClass,22,1.0313895310855428
1,learn,MultiClass,23,1.023022850630851
1,learn,MultiClass,24,1.0148807835125124
1,learn,MultiClass,25,1.006747245507743
1,learn,MultiClass,26,1.000263460654817
1,learn,MultiClass,27,0.9931755101506656
1,learn,MultiClass,28,0.987166502622687
1,learn,MultiClass,29,0.9793946439269585
1,learn,MultiClass,30,0.9728650638845862
1,learn,MultiClass,31,0.9682518764896311
1,learn,MultiClass,32,0.9627921086984558
1,learn,MultiClass,33,0.9566452073389305
1,learn,MultiClass,34,0.9517962658880555
1,learn,MultiClass,35,0.9461969815800964
1,learn,MultiClass,36,0.9398572111517852
1,learn,MultiClass,37,0.9348667903633603
1,learn,MultiClass,38,0.9300703114221832
1,learn,MultiClass,39,0.9253302327237568
1,learn,MultiClass,40,0.9205048241114235
1,learn,MultiClass,41,0.916823254849468
1,learn,MultiClass,42,0.9120451256694788
1,learn,MultiClass,43,0.908840843898983
1,learn,MultiClass,44,0.905149869274556
1,learn,MultiClass,45,0.9009227705132541
1,learn,MultiClass,46,0.8971160416877029
1,learn,MultiClass,47,0.8932471826883571
1,learn,MultiClass,48,0.8893099514415105
1,learn,MultiClass,49,0.8855432668917851
1,learn,MultiClass,50,0.8819276701702478
1,learn,MultiClass,51,0.8781239096812723
1,learn,MultiClass,52,0.8748816934284064
1,learn,MultiClass,53,0.870789449672587
1,learn,MultiClass,54,0.8668873441734092
1,learn,MultiClass,55,0.8637906108718567
1,learn,MultiClass,56,0.8601600030182461
1,learn,MultiClass,57,0.8574524609956079
1,learn,MultiClass,58,0.8538475090666353
1,learn,MultiClass,59,0.8503867313307739
1,learn,MultiClass,60,0.8477955953353552
1,learn,MultiClass,61,0.8442790863352673
1,learn,MultiClass,62,0.8406589892898089
1,learn,MultiClass,63,0.837173289154041
1,learn,MultiClass,64,0.8349321964931316
1,learn,MultiClass,65,0.8322182726578854
1,learn,MultiClass,66,0.8301295727287992
1,learn,MultiClass,67,0.8278630386956836
1,learn,MultiClass,68,0.8254146066482159
1,learn,MultiClass,69,0.8228035732571441
1,learn,MultiClass,70,0.8204925623640141
1,learn,MultiClass,71,0.8181781469716689
1,learn,MultiClass,72,0.8152634982374596
1,learn,MultiClass,73,0.8120544946151086
1,learn,MultiClass,74,0.808841577738442
1,learn,MultiClass,75,0.8077539775035578
1,learn,MultiClass,76,0.8046708789368382
1,learn,MultiClass,77,0.8023031734212833
1,learn,MultiClass,78,0.7994984790649267
1,learn,MultiClass,79,0.7960212145654666
1,learn,MultiClass,80,0.7937153682933555
1,learn,MultiClass,81,0.7917544884275742
1,learn,MultiClass,82,0.7893824647227253
1,learn,MultiClass,83,0.7871429361980835
1,learn,MultiClass,84,0.7847570192578416
1,learn,MultiClass,85,0.7815990889841363
1,learn,MultiClass,86,0.7793981559025907
1,learn,MultiClass,87,0.7777382267848065
1,learn,MultiClass,88,0.7764345447595311
1,learn,MultiClass,89,0.7748800577088774
1,learn,MultiClass,90,0.7734661738500004
1,learn,MultiClass,91,0.7719974180437873
1,learn,MultiClass,92,0.7700453756321877
1,learn,MultiClass,93,0.7681976300585154
1,learn,MultiClass,94,0.7666394060521989
1,learn,MultiClass,95,0.765042327262968
1,learn,MultiClass,96,0.7630116436431236
1,learn,MultiClass,97,0.7605408803985748
1,learn,MultiClass,98,0.7579501084590675
1,learn,MultiClass,99,0.7560476447607631
1,learn,MultiClass,100,0.7543627188381502
1,learn,MultiClass,101,0.7526145982306247
1,learn,MultiClass,102,0.7505748068286286
1,learn,MultiClass,103,0.7489649644918478
1,learn,MultiClass,104,0.7482687379725815
1,learn,MultiClass,105,0.7465328762218789
1,learn,MultiClass,106,0.744992212219648
1,learn,MultiClass,107,0.7436750038925698
1,learn,MultiClass,108,0.7422670099599417
1,learn,MultiClass,109,0.7405021150557016
1,learn,MultiClass,110,0.7397202372794974
1,learn,MultiClass,111,0.738234066063383
1,learn,MultiClass,112,0.7368326579604656
1,learn,MultiClass,113,0.7352947627314466
1,learn,MultiClass,114,0.733656509333849
1,learn,MultiClass,115,0.7314032112261303
1,learn,MultiClass,116,0.7298149166849484
1,learn,MultiClass,117,0.7288898889200173
1,learn,MultiClass,118,0.7275056964497184
1,learn,MultiClass,119,0.7262823581296429
1,learn,MultiClass,120,0.7253922631467689
1,learn,MultiClass,121,0.72443062114652
1,learn,MultiClass,122,0.7231514168296449
1,learn,MultiClass,123,0.7212953628073568
1,learn,MultiClass,124,0.7191712404100981
1,learn,MultiClass,125,0.7173394524814227
1,learn,MultiClass,126,0.7160579682754693
1,learn,MultiClass,127,0.71487261209955
1,learn,MultiClass,128,0.7128314510699797
1,learn,MultiClass,129,0.7113258862426237
1,learn,MultiClass,130,0.7103641857821363
1,learn,MultiClass,131,0.7092590165812189
1,learn,MultiClass,132,0.7071118727520169
1,learn,MultiClass,133,0.7058217418562767
1,learn,MultiClass,134,0.704746082158397
1,learn,MultiClass,135,0.7035284956518569
1,learn,MultiClass,136,0.7020408670347814
1,learn,MultiClass,137,0.7009897414719264
1,learn,MultiClass,138,0.6992060606911062
1,learn,MultiClass,139,0.6971493008410717
1,learn,MultiClass,140,0.6964654989037152
1,learn,MultiClass,141,0.6953648149052687
1,learn,MultiClass,142,0.6946184545713058
1,learn,MultiClass,143,0.6936433578786783
1,learn,MultiClass,144,0.6923439492823925
1,learn,MultiClass,145,0.6907958305613534
1,learn,MultiClass,146,0.6899126685456246
1,learn,MultiClass,147,0.6882610582869033
1,learn,MultiClass,148,0.686326549815166
1,learn,MultiClass,149,0.6853793909820347
1,learn,MultiClass,150,0.6849340779567943
1,learn,MultiClass,151,0.6831804130843611
1,learn,MultiClass,152,0.6815385093969222
1,learn,MultiClass,153,0.6807304799303646
1,learn,MultiClass,154,0.6800793541283842
1,learn,MultiClass,155,0.6788771825443951
1,learn,MultiClass,156,0.6779433890807953
1,learn,MultiClass,157,0.6772336963979864
1,learn,MultiClass,158,0.6762203726453878
1,learn,MultiClass,159,0.6759839538083041
1,learn,MultiClass,160,0.6748925716265096
1,learn,MultiClass,161,0.6739392952309547
1,learn,MultiClass,162,0.6731155525494069
1,learn,MultiClass,163,0.6721015834939971
1,learn,MultiClass,164,0.6708562876437877
1,learn,MultiClass,165,0.6698577856561294
1,learn,MultiClass,166,0.6688199709918996
1,learn,MultiClass,167,0.6681269662886232
1,learn,MultiClass,168,0.6659889002460072
1,validation,TotalF1:average=Macro,1,0.3556706612893023
1,validation,TotalF1:average=Macro,2,0.35917762092220523
1,validation,TotalF1:average=Macro,3,0.34454212375850424
1,validation,TotalF1:average=Macro,4,0.3799918213007162
1,validation,TotalF1:average=Macro,5,0.3942270914875273
1,validation,TotalF1:average=Macro,6,0.3806516492310813
1,validation,TotalF1:average=Macro,7,0.38828348164028303
1,validation,TotalF1:average=Macro,8,0.40018601046087665
1,validation,TotalF1:average=Macro,9,0.3942168515139427
1,validation,TotalF1:average=Macro,10,0.3854277395208441
1,validation,TotalF1:average=Macro,11,0.38166392935962834
1,validation,TotalF1:average=Macro,12,0.38562087245600085
1,validation,TotalF1:average=Macro,13,0.3837702090710757
1,validation,TotalF1:average=Macro,14,0.3922402931515857
1,validation,TotalF1:average=Macro,15,0.39444101756782873
1,validation,TotalF1:average=Macro,16,0.39790222995626945
1,validation,TotalF1:average=Macro,17,0.40193133555460436
1,validation,TotalF1:average=Macro,18,0.40311856704272164
1,validation,TotalF1:average=Macro,19,0.394196935299585
1,validation,TotalF1:average=Macro,20,0.3914464588216725
1,validation,TotalF1:average=Macro,21,0.3902830295154845
1,validation,TotalF1:average=Macro,22,0.3889819369953219
1,validation,TotalF1:average=Macro,23,0.39075896561945245
1,validation,TotalF1:average=Macro,24,0.39245721197618616
1,validation,TotalF1:average=Macro,25,0.3954114331536933
1,validation,TotalF1:average=Macro,26,0.39350440436563544
1,validation,TotalF1:average=Macro,27,0.3947800030592379
